Station,Location,Elevation,Date,Temp Max,Temp Avg,Temp Min,Precip Total
IVALTO2,"Valtournenche, IT",6722,12/7/23,46.7,27.1,18.3,0.01
IVALTO2,"Valtournenche, IT",6722,12/8/23,26.9,25.8,24.9,0.01
IVALTO2,"Valtournenche, IT",6722,12/9/23,36.3,26.5,22.2,0
IVALTO2,"Valtournenche, IT",6722,12/10/23,44.9,30.2,24.9,0.06
IVALTO2,"Valtournenche, IT",6722,12/11/23,35,32.5,29.6,0.01
IVALTO2,"Valtournenche, IT",6722,12/12/23,44.6,36,32,0.31
IVALTO2,"Valtournenche, IT",6722,12/13/23,40.2,29.6,24.6,0.07
IVALTO2,"Valtournenche, IT",6722,12/14/23,30,26.8,24.4,0
IVALTO2,"Valtournenche, IT",6722,12/15/23,42.8,30.1,23.7,0.03
IVALTO2,"Valtournenche, IT",6722,12/16/23,53.2,34.4,26.9,0.01
IVALTO2,"Valtournenche, IT",6722,12/21/23,43.1,35.2,30.3,0.01
IVALTO2,"Valtournenche, IT",6722,12/22/23,34.7,29.9,25.5,0.06
IVALTO2,"Valtournenche, IT",6722,12/27/23,38.4,38,37.4,0
IVALTO2,"Valtournenche, IT",6722,12/28/23,39.7,35.1,32.9,0
IVALTO2,"Valtournenche, IT",6722,12/29/23,47.1,35,30.9,0
IVALTO2,"Valtournenche, IT",6722,12/30/23,47.8,30.9,22.8,0
IVALTO2,"Valtournenche, IT",6722,12/31/23,30,24.2,19.7,0
IVALTO2,"Valtournenche, IT",6722,11/10/23,23,22.6,22.4,0.01
IVALTO2,"Valtournenche, IT",6722,11/11/23,37.2,25.5,20.8,0.01
IVALTO2,"Valtournenche, IT",6722,11/12/23,33.2,27.8,20.8,0
IVALTO2,"Valtournenche, IT",6722,11/13/23,51.8,38.9,32.1,0.06
IVALTO2,"Valtournenche, IT",6722,11/14/23,49.1,40.7,35.6,0.09
IVALTO2,"Valtournenche, IT",6722,11/15/23,39.5,34.6,29.6,0.01
IVALTO2,"Valtournenche, IT",6722,11/16/23,38.6,33.3,30.2,0
IVALTO2,"Valtournenche, IT",6722,11/17/23,32.5,29,27.1,0
IVALTO2,"Valtournenche, IT",6722,8/1/23,65.8,56.4,50.1,0
IVALTO2,"Valtournenche, IT",6722,8/2/23,67.8,56.2,49.1,0.03
IVALTO2,"Valtournenche, IT",6722,8/3/23,69.8,55.8,47.3,0.03
IVALTO2,"Valtournenche, IT",6722,8/4/23,60.6,48,42.8,0.04
IVALTO2,"Valtournenche, IT",6722,8/5/23,68.7,52.6,44.6,0.04
IVALTO2,"Valtournenche, IT",6722,8/6/23,53.6,46.2,41.3,0
IVALTO2,"Valtournenche, IT",6722,8/7/23,57.2,44.8,36.1,0
IVALTO2,"Valtournenche, IT",6722,8/8/23,63.3,49.1,40.2,0
IVALTO2,"Valtournenche, IT",6722,8/9/23,65.4,53.8,44.2,0
IVALTO2,"Valtournenche, IT",6722,8/10/23,77.9,59.8,50,0
IVALTO2,"Valtournenche, IT",6722,8/11/23,71.4,60,52.5,0
IVALTO2,"Valtournenche, IT",6722,8/12/23,70.3,58.5,51.6,0.07
IVALTO2,"Valtournenche, IT",6722,8/13/23,68.3,59.1,53,0.07
IVALTO2,"Valtournenche, IT",6722,8/14/23,69.2,56.9,48.5,0.45
IVALTO2,"Valtournenche, IT",6722,8/15/23,71.7,58.7,51.9,0.45
IVALTO2,"Valtournenche, IT",6722,8/16/23,69.9,58.4,51.2,0.06
IVALTO2,"Valtournenche, IT",6722,8/17/23,72.6,57.7,53,0.06
IVALTO2,"Valtournenche, IT",6722,8/18/23,75.3,60.7,52.7,0.03
IVALTO2,"Valtournenche, IT",6722,8/19/23,78.4,63.8,54.8,0
IVALTO2,"Valtournenche, IT",6722,8/20/23,81.3,66,57.3,0
IVALTO2,"Valtournenche, IT",6722,8/21/23,77.9,65.2,56.3,0
IVALTO2,"Valtournenche, IT",6722,8/22/23,81.8,67,58.4,0
IVALTO2,"Valtournenche, IT",6722,8/23/23,83.1,68.3,60.6,0
IVALTO2,"Valtournenche, IT",6722,8/24/23,79.5,66.5,60.8,0.01
IVALTO2,"Valtournenche, IT",6722,8/25/23,72.8,62.6,56.8,0.06
IVALTO2,"Valtournenche, IT",6722,8/26/23,62.2,55.4,49.6,0.28
IVALTO2,"Valtournenche, IT",6722,8/27/23,61.8,48.6,44.9,0.91
IVALTO2,"Valtournenche, IT",6722,8/28/23,49.4,44.3,36.8,0.91
IVALTO2,"Valtournenche, IT",6722,8/29/23,58.6,45.6,40.6,0.09
IVALTO2,"Valtournenche, IT",6722,8/30/23,56.8,44.5,37,0
IVALTO2,"Valtournenche, IT",6722,8/31/23,49.1,41.2,38.8,0
IVALTO2,"Valtournenche, IT",6722,7/1/23,61.7,51.1,42.9,0.25
IVALTO2,"Valtournenche, IT",6722,7/2/23,66.7,55,47.1,0
IVALTO2,"Valtournenche, IT",6722,7/3/23,68,55.3,47.4,0
IVALTO2,"Valtournenche, IT",6722,7/4/23,65.1,53.6,45.5,0
IVALTO2,"Valtournenche, IT",6722,7/5/23,63.5,53.1,45.8,0
IVALTO2,"Valtournenche, IT",6722,7/6/23,61.1,52.4,46.4,0
IVALTO2,"Valtournenche, IT",6722,7/7/23,64.9,52.9,44.6,0.09
IVALTO2,"Valtournenche, IT",6722,7/8/23,69.6,56.1,48.3,0.09
IVALTO2,"Valtournenche, IT",6722,7/9/23,75.3,62.1,53.9,0
IVALTO2,"Valtournenche, IT",6722,7/10/23,77.7,64.8,56.4,0
IVALTO2,"Valtournenche, IT",6722,7/11/23,76.6,64.3,56.6,0
IVALTO2,"Valtournenche, IT",6722,7/12/23,64.7,57.5,51.4,0.17
IVALTO2,"Valtournenche, IT",6722,7/13/23,67.2,56,48.9,0.17
IVALTO2,"Valtournenche, IT",6722,7/14/23,68.9,57,49.2,0.03
IVALTO2,"Valtournenche, IT",6722,7/15/23,63.3,56.8,50.5,0
IVALTO2,"Valtournenche, IT",6722,7/16/23,66.2,58.3,52.5,0
IVALTO2,"Valtournenche, IT",6722,7/17/23,75.9,63.1,53.7,0
IVALTO2,"Valtournenche, IT",6722,7/18/23,76.8,65.6,57.9,0
IVALTO2,"Valtournenche, IT",6722,7/19/23,72.6,63.5,56.1,0
IVALTO2,"Valtournenche, IT",6722,7/20/23,73.5,59.2,50,0
IVALTO2,"Valtournenche, IT",6722,7/21/23,69.4,57,46.9,0.01
IVALTO2,"Valtournenche, IT",6722,7/22/23,70.3,56,47.3,0.01
IVALTO2,"Valtournenche, IT",6722,7/23/23,68.7,56.3,47.4,0
IVALTO2,"Valtournenche, IT",6722,7/24/23,61.5,52.6,48,0.2
IVALTO2,"Valtournenche, IT",6722,7/25/23,58.6,50.4,43.8,0.2
IVALTO2,"Valtournenche, IT",6722,7/26/23,62.4,48.8,42.8,0.04
IVALTO2,"Valtournenche, IT",6722,7/27/23,66.5,50.5,41.1,0
IVALTO2,"Valtournenche, IT",6722,7/28/23,64,53.7,45.3,0
IVALTO2,"Valtournenche, IT",6722,7/29/23,59.5,54.4,48.9,2.72
IVALTO2,"Valtournenche, IT",6722,7/30/23,73.7,56.5,48.2,2.72
IVALTO2,"Valtournenche, IT",6722,7/31/23,67.4,56.5,48.2,0.01
IVALTO2,"Valtournenche, IT",6722,6/1/23,67.4,48,40.2,0.14
IVALTO2,"Valtournenche, IT",6722,6/2/23,61.1,48.1,42,0.01
IVALTO2,"Valtournenche, IT",6722,6/3/23,57.2,47,42,0.25
IVALTO2,"Valtournenche, IT",6722,6/4/23,55.2,44.4,41.1,0.31
IVALTO2,"Valtournenche, IT",6722,6/5/23,57.2,46.8,41.3,0.31
IVALTO2,"Valtournenche, IT",6722,6/6/23,62.6,48.7,39.7,0.01
IVALTO2,"Valtournenche, IT",6722,6/7/23,60,49,42.2,0.01
IVALTO2,"Valtournenche, IT",6722,6/8/23,62,49.4,41,0.14
IVALTO2,"Valtournenche, IT",6722,6/9/23,55.7,49.2,45.1,0.14
IVALTO2,"Valtournenche, IT",6722,6/10/23,60.2,49.8,44.9,0.03
IVALTO2,"Valtournenche, IT",6722,6/11/23,65.4,52.4,45.3,0.01
IVALTO2,"Valtournenche, IT",6722,6/12/23,66,50.5,43.3,0.17
IVALTO2,"Valtournenche, IT",6722,6/13/23,53.2,47.3,43.7,0.17
IVALTO2,"Valtournenche, IT",6722,6/14/23,61.7,49.5,43.7,0.11
IVALTO2,"Valtournenche, IT",6722,6/15/23,69.8,51.2,42,0
IVALTO2,"Valtournenche, IT",6722,6/16/23,64.7,51.9,43.8,0
IVALTO2,"Valtournenche, IT",6722,6/17/23,67.2,53.2,43.1,0
IVALTO2,"Valtournenche, IT",6722,6/18/23,63.3,52,46.7,0.07
IVALTO2,"Valtournenche, IT",6722,6/19/23,63.6,53.2,47.8,0.18
IVALTO2,"Valtournenche, IT",6722,6/20/23,65.6,55.5,51.2,0.18
IVALTO2,"Valtournenche, IT",6722,6/21/23,70.8,58.4,48.3,0.11
IVALTO2,"Valtournenche, IT",6722,6/22/23,63.1,55.4,48.3,0.2
IVALTO2,"Valtournenche, IT",6722,6/23/23,67.8,55.1,46.9,0.2
IVALTO2,"Valtournenche, IT",6722,6/24/23,72.1,57.2,47.1,0
IVALTO2,"Valtournenche, IT",6722,6/25/23,76.2,59.6,48.3,0
IVALTO2,"Valtournenche, IT",6722,6/26/23,74.4,60.9,51.9,0
IVALTO2,"Valtournenche, IT",6722,6/27/23,73.4,59.3,52.1,0
IVALTO2,"Valtournenche, IT",6722,6/28/23,72.5,57.1,49.2,0
IVALTO2,"Valtournenche, IT",6722,6/29/23,64,52.7,47.8,0.48
IVALTO2,"Valtournenche, IT",6722,6/30/23,54.8,49.4,46.5,0.48
IVALTO2,"Valtournenche, IT",6722,5/1/23,47.1,35.9,31.6,0.47
IVALTO2,"Valtournenche, IT",6722,5/2/23,54.6,40.1,31.8,0.47
IVALTO2,"Valtournenche, IT",6722,5/3/23,65.3,43.2,31.6,0
IVALTO2,"Valtournenche, IT",6722,5/4/23,66.5,45.5,33.9,0
IVALTO2,"Valtournenche, IT",6722,5/5/23,66,47.3,39.3,0
IVALTO2,"Valtournenche, IT",6722,5/6/23,66.2,48.9,40.8,0
IVALTO2,"Valtournenche, IT",6722,5/7/23,51.9,44.4,39.9,0.06
IVALTO2,"Valtournenche, IT",6722,5/8/23,56.3,45.3,37.7,0.06
IVALTO2,"Valtournenche, IT",6722,5/9/23,51.6,43.2,38.4,0
IVALTO2,"Valtournenche, IT",6722,5/10/23,52.3,41.5,35.2,0
IVALTO2,"Valtournenche, IT",6722,5/11/23,48.5,39,32,0
IVALTO2,"Valtournenche, IT",6722,5/12/23,43.5,35,30.3,0.01
IVALTO2,"Valtournenche, IT",6722,5/13/23,43.5,35,31.8,0.17
IVALTO2,"Valtournenche, IT",6722,5/14/23,47.6,37.4,31.2,0.17
IVALTO2,"Valtournenche, IT",6722,5/15/23,57.9,43.4,34.8,0.15
IVALTO2,"Valtournenche, IT",6722,5/16/23,47.6,40.4,36.5,0
IVALTO2,"Valtournenche, IT",6722,5/17/23,50.9,39.7,35.6,0.03
IVALTO2,"Valtournenche, IT",6722,5/18/23,50.5,38.2,33.8,0.11
IVALTO2,"Valtournenche, IT",6722,5/19/23,42.2,36.2,33.4,2.8
IVALTO2,"Valtournenche, IT",6722,5/20/23,41.1,36.8,33.9,2.8
IVALTO2,"Valtournenche, IT",6722,5/21/23,46,40.2,35.7,0.12
IVALTO2,"Valtournenche, IT",6722,5/22/23,64.4,47.7,40.6,0.03
IVALTO2,"Valtournenche, IT",6722,5/23/23,65.4,49.9,42,0
IVALTO2,"Valtournenche, IT",6722,5/24/23,52.3,45.6,39.3,0.17
IVALTO2,"Valtournenche, IT",6722,5/25/23,57.7,42.3,35,0.22
IVALTO2,"Valtournenche, IT",6722,5/26/23,70.8,50.9,40.6,0.09
IVALTO2,"Valtournenche, IT",6722,5/27/23,68,52.2,44.9,0
IVALTO2,"Valtournenche, IT",6722,5/28/23,61.7,49.3,43.8,0
IVALTO2,"Valtournenche, IT",6722,5/29/23,57.5,47.9,41.1,0
IVALTO2,"Valtournenche, IT",6722,5/30/23,61.3,48.8,42.2,0.07
IVALTO2,"Valtournenche, IT",6722,5/31/23,51.4,42.2,38.4,0.14
IVALTO2,"Valtournenche, IT",6722,4/1/23,41.3,29.6,23,0.15
IVALTO2,"Valtournenche, IT",6722,4/2/23,47.8,32.1,23.5,0.15
IVALTO2,"Valtournenche, IT",6722,4/3/23,45.6,32.3,25.3,0.06
IVALTO2,"Valtournenche, IT",6722,4/4/23,43.8,28.1,19.2,0
IVALTO2,"Valtournenche, IT",6722,4/5/23,35.2,24.9,18.3,0
IVALTO2,"Valtournenche, IT",6722,4/6/23,40.8,27.8,17.9,0
IVALTO2,"Valtournenche, IT",6722,4/7/23,43.8,29.4,24.4,0.01
IVALTO2,"Valtournenche, IT",6722,4/8/23,49.1,31.8,22.1,0.01
IVALTO2,"Valtournenche, IT",6722,4/9/23,52.7,34.4,24,0
IVALTO2,"Valtournenche, IT",6722,4/10/23,51.6,34.8,24.4,0
IVALTO2,"Valtournenche, IT",6722,4/11/23,47.1,36.5,32.5,0.03
IVALTO2,"Valtournenche, IT",6722,4/12/23,50.1,37.6,30.2,0.03
IVALTO2,"Valtournenche, IT",6722,4/13/23,30.2,26.1,22.8,0.03
IVALTO2,"Valtournenche, IT",6722,4/14/23,46.9,30.2,23,0.01
IVALTO2,"Valtournenche, IT",6722,4/15/23,41.5,32.7,27.8,0.01
IVALTO2,"Valtournenche, IT",6722,4/16/23,42.4,35.1,29.4,0.01
IVALTO2,"Valtournenche, IT",6722,4/17/23,45.3,34.1,28.2,0
IVALTO2,"Valtournenche, IT",6722,4/18/23,47.1,35.4,29.6,0
IVALTO2,"Valtournenche, IT",6722,4/19/23,50.7,37.9,30.2,0
IVALTO2,"Valtournenche, IT",6722,4/20/23,37.2,32.1,28.5,0.01
IVALTO2,"Valtournenche, IT",6722,4/21/23,51,33.7,26.6,0.31
IVALTO2,"Valtournenche, IT",6722,4/22/23,58.4,38,28.4,0.31
IVALTO2,"Valtournenche, IT",6722,4/23/23,46.7,36.3,32.1,0.06
IVALTO2,"Valtournenche, IT",6722,4/24/23,52.5,36.9,29.8,0.06
IVALTO2,"Valtournenche, IT",6722,4/25/23,39.7,31.3,26.6,0.06
IVALTO2,"Valtournenche, IT",6722,4/26/23,51,36.6,25.8,0
IVALTO2,"Valtournenche, IT",6722,4/27/23,62,41,30.2,0
IVALTO2,"Valtournenche, IT",6722,4/28/23,53.9,44.6,34.8,0
IVALTO2,"Valtournenche, IT",6722,4/29/23,55.5,44.2,39,0.04
IVALTO2,"Valtournenche, IT",6722,4/30/23,46.9,39,33.9,0.2
IVALTO2,"Valtournenche, IT",6722,3/1/23,44.6,25.7,16.3,0.01
IVALTO2,"Valtournenche, IT",6722,3/2/23,38.1,25.8,21.3,0.07
IVALTO2,"Valtournenche, IT",6722,3/3/23,45.1,27.9,19.9,0
IVALTO2,"Valtournenche, IT",6722,3/4/23,49.1,30.9,22.1,0
IVALTO2,"Valtournenche, IT",6722,3/5/23,45.8,30.2,24,0
IVALTO2,"Valtournenche, IT",6722,3/6/23,46,27.6,21,0
IVALTO2,"Valtournenche, IT",6722,3/7/23,42.4,26.7,20.4,0
IVALTO2,"Valtournenche, IT",6722,3/8/23,37,29.5,23,0.01
IVALTO2,"Valtournenche, IT",6722,3/9/23,55.2,35,28,0.36
IVALTO2,"Valtournenche, IT",6722,3/10/23,34.3,27.7,24,0
